part_edad;part_sex;estrato;Meta_rec;prevalencia_vida;prevalencia_12mes;prevalencia_1mes;Total_conocimiento;Total_normas;Total_mod;Total_presion;Total_autoef;Total_intencion;Total_plan;Total_actitud
19;Mujer;3;1;1;0;0;4;12;9;4;22;15;35;19
19;Hombre;2;1;1;1;0;4;5;14;4;21;9;18;28
18;Mujer;2;1;1;1;1;5;20;17;12;22;13;28;30
20;Mujer;6;1;1;1;1;3;13;9;7;24;15;34;33
18;Mujer;3;1;0;0;1;2;12;14;11;14;9;21;17
19;Mujer;6;1;1;1;1;2;16;11;4;23;11;17;25
19;Mujer;4;1;1;1;1;5;20;8;4;25;15;30;21
31;Hombre;5;1;1;0;0;4;18;8;5;22;15;29;18
26;Mujer;3;1;1;0;0;4;19;14;4;25;3;11;24
29;Mujer;4;1;1;1;1;2;17;10;6;25;15;35;28
30;Mujer;3;1;1;1;1;5;12;14;12;25;9;18;38
34;Hombre;5;1;1;1;1;5;14;12;8;21;3;28;17
27;Hombre;4;1;1;1;1;2;16;17;13;16;6;25;10
23;Mujer;3;1;1;1;1;2;16;6;4;24;13;33;24
26;Mujer;4;1;1;1;0;3;19;5;4;25;5;17;19
28;Hombre;5;1;1;1;1;4;14;18;14;23;3;12;24
28;Hombre;3;1;1;1;1;3;15;11;6;20;6;7;28
34;Mujer;2;1;1;1;1;5;14;7;5;23;5;9;35
35;Mujer;4;1;1;1;1;4;20;14;5;19;15;35;40
24;Mujer;3;1;0;1;1;3;15;19;12;25;13;33;31
23;Mujer;4;1;1;1;1;2;13;7;6;12;14;27;38
27;Mujer;5;1;1;0;0;4;8;11;6;23;13;33;19
18;Mujer;4;1;0;1;1;5;20;12;12;25;15;32;23
22;Hombre;6;1;1;1;0;2;20;15;15;23;7;10;20
19;Hombre;6;1;1;1;1;5;23;14;12;25;12;32;27
28;Hombre;2;1;0;1;1;5;12;12;4;17;3;7;36
21;Hombre;4;1;1;1;1;3;18;13;13;21;13;29;23
22;Mujer;4;1;1;1;1;4;16;6;4;24;14;33;30
19;Hombre;4;1;1;1;1;4;16;10;4;25;8;29;18
21;Hombre;4;1;1;1;1;4;11;17;15;15;8;18;16
21;Mujer;4;1;1;1;1;5;17;17;12;22;12;31;17
18;Hombre;1;1;1;1;0;4;21;9;12;25;14;29;23
18;Mujer;3;1;0;0;0;4;22;16;12;25;3;15;40
20;Hombre;3;1;1;1;1;5;14;10;6;19;12;24;19
20;Hombre;3;1;1;1;1;3;21;19;12;25;15;33;30
19;Mujer;1;1;1;1;0;5;19;15;12;24;13;32;18
20;Hombre;4;1;1;1;1;2;10;18;12;23;7;28;13
21;Hombre;1;1;1;1;1;3;20;7;8;24;15;33;24
21;Mujer;2;1;1;1;1;2;18;9;6;21;15;34;30
25;Hombre;3;1;1;1;1;5;18;17;14;23;10;24;19
